VARIABLE,CATEGORY,SOURCE,DESCRIPTION
CLUST_BG_5,Clustering,Brookings Analysis of Various Data,"Number of block groups, including this one, within 5 miles of this block group"
CLUST_PC_1,Clustering,Brookings Analysis of Various Data,"Number of primary centers, including this one if applicable, within 1 mile of this block group"
CLUST_PC_3,Clustering,Brookings Analysis of Various Data,"Number of primary centers, including this one if applicable, within 3 miles of this block group"
CLUST_PC_5,Clustering,Brookings Analysis of Various Data,"Number of primary centers, including this one if applicable, within 5 miles of this block group"
CLUST_SC_1,Clustering,Brookings Analysis of Various Data,"Number of secondary centers, including this one if applicable, within 1 mile of this block group"
CLUST_SC_3,Clustering,Brookings Analysis of Various Data,"Number of secondary centers, including this one if applicable, within 3 miles of this block group"
CLUST_SC_5,Clustering,Brookings Analysis of Various Data,"Number of secondary centers, including this one if applicable, within 5 miles of this block group"
CLUST_MC_1,Clustering,Brookings Analysis of Various Data,"Number of monocenters, including this one if applicable, within 1 mile of this block group"
CLUST_MC_3,Clustering,Brookings Analysis of Various Data,"Number of monocenters, including this one if applicable, within 3 miles of this block group"
CLUST_MC_5,Clustering,Brookings Analysis of Various Data,"Number of monocenters, including this one if applicable, within 5 miles of this block group"
SLD_NWI,Walkability,2021 Smart Location Database ,EPA 2021 National Walkability Index
SLD_D3A,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,Total road network density
SLD_D3AAO,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,Network density in terms of facility miles of auto-oriented links per square mile
SLD_D3AMM,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,Network density in terms of facility miles of multi-modal links per square mile
SLD_D3APO,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,Network density in terms of facility miles of pedestrian-oriented links per square mile
SLD_D3B,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,"Street intersection density (weighted, auto-oriented intersections eliminated)"
SLD_D3BAO,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,Intersection density in terms of auto-oriented intersections per square mile
SLD_D3BMM3,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,Intersection density in terms of multi-modal intersections having three legs per square mile
SLD_D3BMM4,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,Intersection density in terms of multi-modal intersections having four or more legs per square mile
SLD_D3BPO3,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,Intersection density in terms of pedestrian-oriented intersections having three legs per square mile
SLD_D3BPO4,Road Network,2021 Smart Location Database - 2018 HERE Maps NAVSTREETS,Intersection density in terms of pedestrian-oriented intersections having four or more legs per square mile
SLD_D5AR,Destination Accessibility,2021 Smart Location Database ,"Jobs within 45 minutes auto travel time, time- decay (network travel time) weighted"
SLD_D5AE,Destination Accessibility,2021 Smart Location Database ,"Working age population within 45 minutes auto travel time, time-decay (network travel time) weighted"
SLD_D5BR,Destination Accessibility,2021 Smart Location Database ,"Jobs within 45-minute transit commute, distance decay (walk network travel time, GTFS schedules) weighted "
SLD_D5BE,Destination Accessibility,2021 Smart Location Database ,"Working age population within 45-minute transit commute, distance decay (walk network travel time, GTFS schedules) weighted"
SLD_D5CR,Destination Accessibility,2021 Smart Location Database ,Proportional Accessibility to Regional Destinations - Auto: Employment accessibility expressed as a ratio of total CBSA accessibility
SLD_D5CRI,Destination Accessibility,2021 Smart Location Database ,Regional Centrality Index – Auto: CBG [D5cr] score relative to max CBSA [D5cr] score
SLD_D5CE,Destination Accessibility,2021 Smart Location Database ,Proportional Accessibility to Regional Destinations - Auto: Working age population accessibility expressed as a ratio of total CBSA accessibility
SLD_D5CEI,Destination Accessibility,2021 Smart Location Database ,Regional Centrality Index – Auto: CBG [D5ce] score relative to max CBSA [D5ce] score 
SLD_D5DR,Destination Accessibility,2021 Smart Location Database ,Proportional Accessibility of Regional Destinations - Transit: Employment accessibility expressed as a ratio of total MSA accessibility
SLD_D5DRI,Destination Accessibility,2021 Smart Location Database ,Regional Centrality Index – Transit: CBG [D5dr] score relative to max CBSA [D5dr] score
SLD_D5DE,Destination Accessibility,2021 Smart Location Database ,Proportional Accessibility of Regional Destinations - Transit: Working age population accessibility expressed as a ratio of total MSA accessibility
SLD_D5DEI,Destination Accessibility,2021 Smart Location Database ,Regional Centrality Index – Transit: CBG [D5de] score relative to max CBSA [D5de] score
SLD_VMTPW,VMT and Greenhouse Gases,2022 Smart Location Database ,VMT per worker
SLD_VMTPWN,VMT and Greenhouse Gases,2023 Smart Location Database ,Non-Commuting VMT per worker
SLD_VMTPWC,VMT and Greenhouse Gases,2024 Smart Location Database ,Commuting VMT per worker
SLD_GHGPW,VMT and Greenhouse Gases,2025 Smart Location Database ,Greenhouse gas emissions per worker
SLD_GHGTOT,VMT and Greenhouse Gases,2026 Smart Location Database ,Total greenhouse gas emissions
SLD_SLC,VMT and Greenhouse Gases,2027 Smart Location Database ,Unknown
CT_COMMUN,BG Category Scores,Brookings Analysis of Various Data,"Percentile rank of the block group for ""community"" assets"
CT_TOURIS,BG Category Scores,Brookings Analysis of Various Data,"Percentile rank of the block group for ""tourism"" assets"
CT_CONSUM,BG Category Scores,Brookings Analysis of Various Data,"Percentile rank of the block group for ""consumption"" assets"
CT_INSTIT,BG Category Scores,Brookings Analysis of Various Data,"Percentile rank of the block group for ""institutional"" assets"
CT_ECONOM,BG Category Scores,Brookings Analysis of Various Data,"Percentile rank of the block group for ""economic"" assets"
